date,description,amount,note
2026-03-03,ヤマト運輸　振込,-2200,
2026-03-03,Amazon　消耗品購入,-4980,
2026-03-04,振込入金　ﾄｳｶｲｾｲｿﾞｳ　コンサル料,550000,
2026-03-04,NTTｺﾐｭﾆｹｰｼｮﾝｽﾞ　電話料金,-8800,
2026-03-05,振込　ﾅｺﾞﾔｲﾝｻﾂ　名刺印刷,-16500,
2026-03-05,セブンイレブン,-980,
2026-03-06,Amazon　書籍購入,-3300,
2026-03-06,振込入金　ｺﾞｳﾄﾞｳｶｲｼｬｳｪｽﾄ　顧問料,110000,
2026-03-07,JR東海　新幹線代,-14080,
2026-03-07,名古屋市営地下鉄,-240,
2026-03-10,振込　ｵﾌｨｽﾖｳﾋﾝｾﾝﾀｰ,-22000,
2026-03-10,楽天トラベル　出張ホテル代,-18700,
2026-03-10,振込入金　ﾎｸﾘｸﾌｰｽﾞ　研修費,330000,
2026-03-11,ローソン,-650,
2026-03-11,Amazon　事務用品,-6270,
2026-03-11,中部電力　電気代,-24200,
2026-03-12,振込　社会保険料　2月分,-89000,
2026-03-12,振込入金　ﾄｳﾎｳｼｽﾃﾑ　コンサル料,220000,
2026-03-13,コメダ珈琲　打合せ,-2160,
2026-03-13,振込　ｸﾘｴｲﾃｨﾌﾞﾃﾞｻﾞｲﾝ　資料作成,-55000,
2026-03-14,給与振込　ﾔﾏﾀﾞﾀﾛｳ,-280000,
2026-03-14,給与振込　ｽｽﾞｷﾊﾅｺ,-240000,
2026-03-14,給与振込　ﾀﾅｶｲﾁﾛｳ,-220000,
2026-03-17,振込入金　ﾐｴｹﾝｾﾂ　研修費,165000,
2026-03-17,Amazon　PCアクセサリ,-8800,
2026-03-17,東京ガス　ガス代,-4400,
2026-03-18,振込　顧問弁護士費用　〇〇法律事務所,-33000,
2026-03-18,マクドナルド,-850,
2026-03-18,振込入金　ｾﾐﾅｰ参加費　ﾔﾏﾓﾄ様,15000,
2026-03-19,Zoom　月額利用料,-2000,
2026-03-19,振込入金　ｱｲﾁｼｮｳｼﾞ　コンサル料,440000,
2026-03-19,コクヨ直販　文房具,-3850,
2026-03-20,振込　〇〇税理士事務所　顧問料,-33000,
2026-03-20,高速道路料金　NEXCO,-2310,
2026-03-20,セブンイレブン,-1240,
2026-03-21,振込入金　ﾄｳｶｲｾｲｿﾞｳ　2月分精算,55000,
2026-03-24,Amazon　書籍,-2750,
2026-03-24,名鉄バス,-460,
2026-03-24,振込　ﾐﾅﾐｲﾝｻﾂ　セミナー資料印刷,-41800,
2026-03-25,ドトールコーヒー　打合せ,-1080,
2026-03-25,振込入金　ｷﾞﾌﾃｯｸ　研修費,275000,
2026-03-25,Microsoft365　月額,-1850,
2026-03-26,振込　家賃　〇〇ビル管理,-110000,
2026-03-26,損保ジャパン　賠償責任保険,-12000,
2026-03-27,振込入金　ｽｽﾞｷｾｲｺｳ　スポット研修,88000,
2026-03-27,Amazon　プリンタートナー,-5500,
2026-03-28,振込　源泉所得税　3月分,-45000,
2026-03-28,ﾌｧﾐﾘｰﾏｰﾄ,-720,
2026-03-31,振込入金　ﾅｺﾞﾔｺｰﾎﾟ　顧問料,110000,
2026-03-31,振込　〇〇社労士事務所　給与計算代行,-22000,
2026-03-31,〇〇商店　備品購入,-9800,
